IdCompra,Descripcion,Cantidad,Precio Unitario,Precio total,Temperatura Pizza,Fecha,Hora
12,Mexicana,1,249,249,1,23 06 23,18:18:49
12,Hawaiana,1,249,249,1,23 06 23,18:30:08
12,Mexicana,1,249,249,1,23 06 23,18:39:33
12,Peperoni,1,199,199,1,23 06 23,19:07:12
12,Hawaiana,1,249,249,1,23 06 23,19:15:59
12,Peperoni,1,199,199,1,23 06 23,19:22:41
13,4 Quesos,1,249,249,1,23 06 23,19:28:45
14,Peperoni,1,199,199,1,23 06 23,19:45:47
15,Peperoni,1,199,199,1,23 06 23,19:55:33
16,Peperoni,1,199,199,1,23 06 23,20:00:45
17,Mexicana,1,249,249,1,23 06 23,20:06:04
18,4 Quesos,1,249,249,1,23 06 23,20:12:18
19,Mexicana,1,249,249,1,23 06 23,20:18:19
20,Hawaiana,1,249,249,1,23 06 23,20:23:31
21,Peperoni,1,199,199,1,23 06 23,20:32:03
22,Mexicana,1,249,249,1,23 06 23,20:37:54
23,Hawaiana,1,249,249,1,23 06 23,20:43:53
24,Mexicana,1,249,249,1,23 06 23,20:49:27
25,Peperoni,1,199,199,1,23 06 23,20:54:32
26,4 Quesos,1,249,249,1,23 06 23,21:02:12
27,Peperoni,1,199,199,1,23 06 23,21:07:21
28,Hawaiana,1,249,249,1,23 06 23,21:13:20
29,Hawaiana,1,249,249,1,23 06 23,21:19:10
30,Vegetarina,1,249,249,1,23 06 23,21:25:22
31,Peperoni,1,189,189,0,23 06 23,21:31:31
31,Hawaiana,1,239,239,0,23 06 23,21:32:35
32,Hawaiana,1,249,249,1,23 06 23,21:34:56
33,Hawaiana,1,249,249,1,23 06 23,21:40:49
34,Vegetarina,1,249,249,1,23 06 23,21:49:06
35,Hawaiana,1,249,249,1,23 06 23,21:55:50
36,Hawaiana,1,249,249,1,23 06 23,22:01:10
37,Hawaiana,1,249,249,1,23 06 23,22:16:37
38,Hawaiana,1,249,249,1,23 06 23,22:21:53
39,Hawaiana,1,249,249,1,25 06 23,15:01:45
40,Mexicana,1,249,249,1,25 06 23,15:13:11
41,Peperoni,1,199,199,1,25 06 23,15:23:50
42,4 Quesos,1,249,249,1,25 06 23,15:31:56
43,Peperoni,1,199,199,1,25 06 23,15:37:06
44,Peperoni,1,199,199,1,25 06 23,15:57:39
45,Peperoni,1,199,199,1,25 06 23,16:06:40
46,Peperoni,1,199,199,1,25 06 23,16:17:29
47,Peperoni,1,199,199,1,25 06 23,16:39:38
48,Mexicana,1,249,249,1,25 06 23,16:44:29
49,Mexicana,1,249,249,1,25 06 23,16:52:43
50,Peperoni,1,199,199,1,25 06 23,17:05:05
51,4 Quesos,1,249,249,1,25 06 23,17:11:30
52,4 Quesos,1,249,249,1,25 06 23,17:20:17
53,Mexicana,1,249,249,1,25 06 23,17:26:47
54,Hawaiana,1,249,249,1,25 06 23,17:32:23
55,Hawaiana,1,249,249,1,25 06 23,17:40:30
56,Vegetarina,1,249,249,1,25 06 23,17:49:04
58,Vegetarina,1,249,249,1,25 06 23,18:05:09
58,Peperoni,1,199,199,1,28 06 23,17:29:45
58,Peperoni,1,199,199,1,28 06 23,18:44:05
